Company,Quarter,Percentage Change (%),Volume,Volatility,Quarter ROI (%),ROI on $1500 ($),Growth Factor,Cumulative ROI on $1500 ($)
Chevron,2020Q1,-39.660712790146164,788831500,19.319348062246213,-40.021520942975755,-600.32,0.5997847905702425,899.68
Chevron,2020Q2,26.31272105882112,716030900,6.044198324036557,28.370019586612177,425.55,1.2837001958661218,1325.23
Chevron,2020Q3,-17.541659740682444,611381100,5.688777105294613,-19.35483760703627,-290.32,0.8064516239296373,1034.91
Chevron,2020Q4,20.562345545926423,717577300,8.390444815682688,18.09536348126563,271.43,1.1809536348126564,1306.34
Chevron,2021Q1,24.601586816809597,705058900,7.943148810723182,23.06517796559219,345.98,1.230651779655922,1652.32
Chevron,2021Q2,-1.8061500350916075,608668800,2.5888034942282467,-0.49401886937825945,-7.41,0.9950598113062175,1644.91
Chevron,2021Q3,-2.626872177362844,669614200,3.0210841458149598,-5.1425901420658215,-77.14,0.9485740985793418,1567.77
Chevron,2021Q4,12.508382242239014,658214400,3.7428362271423685,14.801405862587307,222.02,1.1480140586258731,1789.79
ConocoPhillips,2020Q1,-54.12465458807388,624612700,14.475489224934586,-52.818627737431015,-792.28,0.4718137226256899,707.72
ConocoPhillips,2020Q2,37.981086339977736,566239600,4.675746239294635,43.315146299886734,649.73,1.4331514629988673,1357.45
ConocoPhillips,2020Q3,-19.661271002019053,444869500,2.828907177960342,-22.455722937852048,-336.84,0.7754427706214795,1020.61
ConocoPhillips,2020Q4,23.065061584481487,781031700,4.799994883611459,24.076953913887735,361.15,1.2407695391388773,1381.76
ConocoPhillips,2021Q1,34.72327971805367,689248900,5.7977764987923015,30.790126470871915,461.85,1.3079012647087191,1843.61
ConocoPhillips,2021Q2,11.958532080212589,537368600,3.7998673837955392,14.646089515119076,219.69,1.1464608951511908,2063.3
ConocoPhillips,2021Q3,8.492366510622821,550913900,3.58890112339051,8.103362781368919,121.55,1.0810336278136892,2184.85
ConocoPhillips,2021Q4,2.4393710723174107,511491700,1.9304628800656314,5.557185148275023,83.36,1.0555718514827501,2268.21
ExxonMobil,2020Q1,-45.92383733786865,2010286000,12.703791361256608,-45.942479533746656,-689.14,0.5405752046625334,810.86
ExxonMobil,2020Q2,15.720761305043249,1853656700,3.2394505398447198,21.323929680414068,319.86,1.2132392968041406,1130.72
ExxonMobil,2020Q3,-20.750400102493263,1487158200,3.2659520082741813,-22.836591288171515,-342.55,0.7716340871182849,788.17
ExxonMobil,2020Q4,25.173558357094112,1938188100,3.864118298132018,21.988754376628357,329.83,1.2198875437662835,1118.0
ExxonMobil,2021Q1,35.78312885330384,1929528100,5.507866462999324,34.692402420828,520.39,1.34692402420828,1638.39
ExxonMobil,2021Q2,9.252485502289085,1505610200,2.8153124818788884,12.002844767152423,180.04,1.1200284476715243,1818.43
ExxonMobil,2021Q3,-4.963641278788347,1325173700,2.4727654003764052,-8.565213709617165,-128.48,0.9143478629038284,1689.95
ExxonMobil,2021Q4,-0.31183099582693535,1284388400,1.70873852055136,2.9961265508645027,44.94,1.029961265508645,1734.89
